CUSTOMER;AGE;GENDER;OCCUPATION;TOTAL_INCOME;AREA;OBJECT_VER_NEW
256;37;L;WIRASWASTA NON FORMAL;5000000;01. JABOTABEK;MOTOR BARU
257;43;L;WIRASWASTA NON FORMAL;4000000;03. JATIM;2W_MPL
258;35;L;WIRASWASTA NON FORMAL;5300000;04. JATENG;MOTOR BARU
259;32;L;PEG.SWASTA FORMAL;6200000;09. SUMATERA SELATAN;MOTOR BARU
260;60;P;WIRASWASTA NON FORMAL;4500000;09. SUMATERA SELATAN;MOTOR BARU
261;53;P;WIRASWASTA NON FORMAL;2800000;09. SUMATERA SELATAN;MOTOR BEKAS
262;47;L;WIRASWASTA NON FORMAL;3780000;09. SUMATERA SELATAN;MOTOR BARU
263;61;P;PEG.SWASTA FORMAL;3800000;09. SUMATERA SELATAN;MOTOR BEKAS
264;57;L;PEG.SWASTA FORMAL;5500000;01. JABOTABEK;MOTOR BARU
265;44;L;WIRASWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
266;22;L;PEG.SWASTA NON FORMAL;4000000;01. JABOTABEK;2W_MPL
267;44;L;WIRASWASTA FORMAL;7000000;01. JABOTABEK;MOTOR BARU
268;19;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
269;48;L;TNI / POLISI;5500000;01. JABOTABEK;MOTOR BARU
270;42;L;WIRASWASTA NON FORMAL;20000000;03. JATIM;MOTOR BARU
271;43;L;PEG.SWASTA FORMAL;8200000;01. JABOTABEK;MOTOR BARU
272;29;L;PEG.SWASTA FORMAL;7500000;01. JABOTABEK;MOTOR BARU
273;45;L;PEG.SWASTA FORMAL;4000000;01. JABOTABEK;MOTOR BEKAS
274;37;L;WIRASWASTA NON FORMAL;5000000;01. JABOTABEK;MOTOR BARU
275;34;L;PEG.SWASTA FORMAL;3800000;01. JABOTABEK;MOTOR BARU
276;41;L;PEG.SWASTA FORMAL;5500000;01. JABOTABEK;MOTOR BARU
277;20;L;PEG.SWASTA FORMAL;5000000;01. JABOTABEK;MOTOR BARU
278;45;L;WIRASWASTA NON FORMAL;5000000;03. JATIM;MOTOR BEKAS
279;52;L;WIRASWASTA NON FORMAL;3078000;03. JATIM;MOTOR BEKAS
280;53;L;PEG.SWASTA FORMAL;4500000;06. SULAWESI;DURABLE
281;23;L;PEG.SWASTA FORMAL;4050000;02. JABAR;MOTOR BARU
282;24;L;PEG.SWASTA NON FORMAL;3300000;03. JATIM;MOTOR BEKAS
283;50;L;WIRASWASTA NON FORMAL;2625000;03. JATIM;MOTOR BARU
284;26;L;WIRASWASTA NON FORMAL;30000000;03. JATIM;MOTOR BARU
285;32;L;PEG.SWASTA NON FORMAL;3500000;03. JATIM;MOTOR BEKAS
286;57;L;WIRASWASTA NON FORMAL;10000000;03. JATIM;DURABLE
287;27;L;WIRASWASTA NON FORMAL;3000000;03. JATIM;DURABLE
288;50;L;WIRASWASTA NON FORMAL;2300000;06. SULAWESI;MOTOR BEKAS
289;32;P;WIRASWASTA NON FORMAL;8000000;01. JABOTABEK;MOTOR BARU
290;51;L;PEG.NEGERI;4000000;01. JABOTABEK;MOTOR BEKAS
291;48;L;WIRASWASTA NON FORMAL;5500000;06. SULAWESI;MOTOR BARU
292;34;P;WIRASWASTA NON FORMAL;6300000;06. SULAWESI;MOTOR BARU
293;40;P;WIRASWASTA NON FORMAL;2200000;06. SULAWESI;MOTOR BEKAS
294;24;P;PEG.SWASTA FORMAL;4400000;05. KALIMANTAN;MOTOR BEKAS
295;35;L;PEG.SWASTA NON FORMAL;5080000;05. KALIMANTAN;MOTOR BEKAS
296;21;P;PEG.SWASTA FORMAL;5500000;06. SULAWESI;MOTOR BARU
297;42;P;PEG.SWASTA FORMAL;3500000;06. SULAWESI;MOTOR BARU
298;58;P;WIRASWASTA NON FORMAL;3200000;06. SULAWESI;MOTOR BARU
299;28;P;WIRASWASTA NON FORMAL;3000000;06. SULAWESI;MOTOR BARU
300;58;L;WIRASWASTA NON FORMAL;4500000;06. SULAWESI;MOTOR BARU
301;47;P;WIRASWASTA NON FORMAL;2800000;06. SULAWESI;MOTOR BEKAS
302;33;L;PEG.SWASTA FORMAL;6700000;02. JABAR;MOTOR BEKAS
303;32;L;PEG.SWASTA FORMAL;4800000;02. JABAR;MOTOR BARU
304;49;L;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BARU
305;44;L;WIRASWASTA NON FORMAL;5000000;02. JABAR;MOTOR BARU
306;42;L;PEG.SWASTA FORMAL;7372000;02. JABAR;MOTOR BARU
307;19;P;PEG.SWASTA NON FORMAL;3000000;02. JABAR;MOTOR BARU
308;21;P;PEG.SWASTA NON FORMAL;3500000;02. JABAR;MOTOR BARU
309;31;P;WIRASWASTA NON FORMAL;3800000;02. JABAR;MOTOR BARU
310;40;L;WIRASWASTA NON FORMAL;5100000;02. JABAR;MOTOR BARU
311;38;L;WIRASWASTA NON FORMAL;8360000;02. JABAR;MOTOR BARU
312;41;P;WIRASWASTA NON FORMAL;3500000;01. JABOTABEK;2W_MPL
313;33;L;WIRASWASTA NON FORMAL;5640000;02. JABAR;MOTOR BARU
314;36;L;PEG.SWASTA FORMAL;15300000;01. JABOTABEK;MOTOR BARU
315;31;L;PEG.SWASTA FORMAL;3320000;02. JABAR;MOTOR BARU
316;35;L;PEG.SWASTA NON FORMAL;4000000;02. JABAR;MOTOR BARU
317;50;L;PEG.NEGERI;11367000;02. JABAR;MOTOR BARU
